"rx_id","precursor_smiles","product_smiles_main","product_smiles_all","is_multi_product","reactants_all","products_all","product_main_smiles","rxn_key","rxn_key_hash","rxn_smiles_mapped","map_status","map_fail_reason","mapping_confidence","substrate_type","ylide_smiles","ylide_leaving_group","ylide_generation_error","core_atom_map","core_bond_changes","core_extraction_status","reaction_type","reaction_type_confidence","reaction_evidence","dipole_gen_class","dipole_gen_evidence","dipole_gen_conf","topology","topology_evidence","cyclo_mode","cyclo_mode_reason","yield","yield_individual","yield_overall","yield_source","de","ee","dr_major","dr_minor","temp_celsius","temp_kelvin","temp_min_c","temp_max_c","temp_profile_raw","solvent","base","time_total_h","n_stages_time","leaving_group","mass_balance_ok","has_stereo","stereo_consistency","quality_flag","notes"
"8972380","O=C1C[C@H]2C=C[C@H](O2)[C@H]1N1C(=O)OC[C@H]1c1ccccc1","N[C@@H]1[C@@H]2CC[C@H](C[C@@H]1O)O2","N[C@@H]1[C@@H]2CC[C@H](C[C@@H]1O)O2","False","O=C1OC[C@H](N1[C@@H]1[C@H]2O[C@@H](CC1=O)C=C2)C1=CC=CC=C1","N[C@@H]1[C@@H]2CC[C@H](C[C@@H]1O)O2","N[C@@H]1[C@@H]2CC[C@H](C[C@@H]1O)O2","O=C1C[C@H]2C=C[C@H](O2)[C@H]1N1C(=O)OC[C@H]1c1ccccc1>>N[C@@H]1[C@@H]2CC[C@H](C[C@@H]1O)O2","13c39893b498dd5112090e744387b070832de8e7ee8c6ffcf62496ab1a4d6e13","","DISABLED","","","unknown","","","No elimination rule for substrate type: unknown","","","DISABLED","","","","","","","","","","","","","","none","","","","","-78","195.14999999999998","-78.0","20.0","-78 - 20; -78","","","6.0","2","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: C9H2O2; Missing yield data"
"8928907","C=C=CN1CCOC1=O.c1ccoc1","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1CCOC1=O","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1CCOC1=O","False","O1C=CC=C1,C=C=CN1CCOC1=O","O=C1OCCN1[C@H]1[C@@H]2O[C@H](CC1=O)C=C2","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1CCOC1=O","C=C=CN1CCOC1=O.c1ccoc1>>O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1CCOC1=O","1f36992ee2a1eec592fdc2df6f5efcd8b9318f18294f5a08da8e6129991c624f","","DISABLED","","","unknown","","","No elimination rule for substrate type: unknown","","","DISABLED","","","","","","","","","","","0.63","","","text","","","","","-45","228.14999999999998","-45.0","-45.0","-45","","","10.0","1","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: O-1"
"8928907","C=C=CN1CCOC1=O.c1ccoc1","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1CCOC1=O","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1CCOC1=O","False","O1C=CC=C1,C=C=CN1CCOC1=O","O=C1OCCN1[C@H]1[C@@H]2O[C@H](CC1=O)C=C2","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1CCOC1=O","C=C=CN1CCOC1=O.c1ccoc1>>O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1CCOC1=O","1f36992ee2a1eec592fdc2df6f5efcd8b9318f18294f5a08da8e6129991c624f","","DISABLED","","","unknown","","","No elimination rule for substrate type: unknown","","","DISABLED","","","","","","","","","","","","","","none","","","","","-78","195.14999999999998","-78.0","-78.0","-78","","","","0","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: O-1; Missing yield data"
"8928911","C=C=CN1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1.c1ccoc1","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1,O=C1C[C@H]2C=C[C@H](O2)[C@H]1N1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1","True","O1C=CC=C1,C=C=CN1[C@@H](COC1=O)C(C1=CC=CC=C1)C1=CC=CC=C1","O=C1OC[C@@H](C(C2=CC=CC=C2)C2=CC=CC=C2)N1[C@H]1[C@@H]2O[C@H](CC1=O)C=C2,O=C1OC[C@@H](C(C2=CC=CC=C2)C2=CC=CC=C2)N1[C@@H]1[C@H]2O[C@@H](CC1=O)C=C2","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1","C=C=CN1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1.c1ccoc1>>O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1","0d89bc10153b5d9c2de236925d8f4074c0dea44e403c8e14c32aeb0a9d2676e7","","DISABLED","","","unknown","","","No elimination rule for substrate type: unknown","","","DISABLED","","","","","","","","","","","0.74","","","text","","","","","-50","223.14999999999998","-50.0","-50.0","-50","","","8.0","1","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: O-1"
"8928911","C=C=CN1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1.c1ccoc1","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1,O=C1C[C@H]2C=C[C@H](O2)[C@H]1N1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1","True","O1C=CC=C1,C=C=CN1[C@@H](COC1=O)C(C1=CC=CC=C1)C1=CC=CC=C1","O=C1OC[C@@H](C(C2=CC=CC=C2)C2=CC=CC=C2)N1[C@H]1[C@@H]2O[C@H](CC1=O)C=C2,O=C1OC[C@@H](C(C2=CC=CC=C2)C2=CC=CC=C2)N1[C@@H]1[C@H]2O[C@@H](CC1=O)C=C2","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1","C=C=CN1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1.c1ccoc1>>O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1C(c1ccccc1)c1ccccc1","0d89bc10153b5d9c2de236925d8f4074c0dea44e403c8e14c32aeb0a9d2676e7","","DISABLED","","","unknown","","","No elimination rule for substrate type: unknown","","","DISABLED","","","","","","","","","","","","","","none","","","","","-78","195.14999999999998","-78.0","-78.0","-78","","","","0","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: O-1; Missing yield data"
"8950982","C1=CCC=C1.C=C=CN1C(=O)N(C)[C@@H](C)[C@H]1c1ccccc1","C[C@H]1[C@@H](c2ccccc2)N([C@@H]2C(=O)C[C@@H]3C=C[C@H]2C3)C(=O)N1C","C[C@H]1[C@@H](c2ccccc2)N([C@@H]2C(=O)C[C@@H]3C=C[C@H]2C3)C(=O)N1C,C[C@H]1[C@@H](c2ccccc2)N([C@H]2C(=O)C[C@H]3C=C[C@@H]2C3)C(=O)N1C","True","C1C=CC=C1,C[C@H]1[C@H](N(C=C=C)C(=O)N1C)C1=CC=CC=C1","C[C@H]1[C@H](N([C@H]2[C@@H]3C[C@H](CC2=O)C=C3)C(=O)N1C)C1=CC=CC=C1,C[C@H]1[C@H](N([C@@H]2[C@H]3C[C@@H](CC2=O)C=C3)C(=O)N1C)C1=CC=CC=C1","C[C@H]1[C@@H](c2ccccc2)N([C@@H]2C(=O)C[C@@H]3C=C[C@H]2C3)C(=O)N1C","C1=CCC=C1.C=C=CN1C(=O)N(C)[C@@H](C)[C@H]1c1ccccc1>>C[C@H]1[C@@H](c2ccccc2)N([C@@H]2C(=O)C[C@@H]3C=C[C@H]2C3)C(=O)N1C","8ccabda2d627116b1e1a7f624ff6d1226b0265cb4884162cc39e436434b03d78","","DISABLED","","","unknown","","","No elimination rule for substrate type: unknown","","","DISABLED","","","","","","","","","","","0.83","","","text","","","","","-50","223.14999999999998","-50.0","-50.0","-50","","","8.0","1","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: O-1"
"8950980","C1=CCC=C1.C=C=CN1CCOC1=O","O=C1C[C@@H]2C=C[C@@H](C2)[C@@H]1N1CCOC1=O","O=C1C[C@@H]2C=C[C@@H](C2)[C@@H]1N1CCOC1=O","False","C1C=CC=C1,C=C=CN1CCOC1=O","O=C1OCCN1[C@H]1[C@@H]2C[C@H](CC1=O)C=C2","O=C1C[C@@H]2C=C[C@@H](C2)[C@@H]1N1CCOC1=O","C1=CCC=C1.C=C=CN1CCOC1=O>>O=C1C[C@@H]2C=C[C@@H](C2)[C@@H]1N1CCOC1=O","5ff1d0a925e09a675ebc8effc94b48d004d84c203e29012bddee4b171edd3db2","","DISABLED","","","unknown","","","No elimination rule for substrate type: unknown","","","DISABLED","","","","","","","","","","","0.6","","","text","","","","","-45","228.14999999999998","-45.0","-45.0","-45","","","10.0","1","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: O-1"
"8928910","C=C=CN1C(=O)N(C)[C@@H](C)[C@H]1c1ccccc1.c1ccoc1","C[C@H]1[C@@H](c2ccccc2)N([C@@H]2C(=O)C[C@@H]3C=C[C@H]2O3)C(=O)N1C","C[C@H]1[C@@H](c2ccccc2)N([C@@H]2C(=O)C[C@@H]3C=C[C@H]2O3)C(=O)N1C,C[C@H]1[C@@H](c2ccccc2)N([C@H]2C(=O)C[C@H]3C=C[C@@H]2O3)C(=O)N1C","True","O1C=CC=C1,C[C@H]1[C@H](N(C=C=C)C(=O)N1C)C1=CC=CC=C1","C[C@H]1[C@H](N([C@H]2[C@@H]3O[C@H](CC2=O)C=C3)C(=O)N1C)C1=CC=CC=C1,C[C@H]1[C@H](N([C@@H]2[C@H]3O[C@@H](CC2=O)C=C3)C(=O)N1C)C1=CC=CC=C1","C[C@H]1[C@@H](c2ccccc2)N([C@@H]2C(=O)C[C@@H]3C=C[C@H]2O3)C(=O)N1C","C=C=CN1C(=O)N(C)[C@@H](C)[C@H]1c1ccccc1.c1ccoc1>>C[C@H]1[C@@H](c2ccccc2)N([C@@H]2C(=O)C[C@@H]3C=C[C@H]2O3)C(=O)N1C","ebeb9863d21b7f3c348ef5471bfcacb28fbe826247af1179cecf7c91c9b5b218","","DISABLED","","","unknown","","","No elimination rule for substrate type: unknown","","","DISABLED","","","","","","","","","","","0.6","","","text","","","","","-50","223.14999999999998","-50.0","-50.0","-50","","","","0","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: O-1"
"8950981","C1=CCC=C1.C=C=CN1C(=O)OC[C@H]1c1ccccc1","O=C1C[C@@H]2C=C[C@@H](C2)[C@@H]1N1C(=O)OC[C@H]1c1ccccc1","O=C1C[C@@H]2C=C[C@@H](C2)[C@@H]1N1C(=O)OC[C@H]1c1ccccc1,O=C1C[C@H]2C=C[C@H](C2)[C@H]1N1C(=O)OC[C@H]1c1ccccc1","True","C1C=CC=C1,C=C=CN1[C@@H](COC1=O)C1=CC=CC=C1","O=C1OC[C@H](N1[C@H]1[C@@H]2C[C@H](CC1=O)C=C2)C1=CC=CC=C1,O=C1OC[C@H](N1[C@@H]1[C@H]2C[C@@H](CC1=O)C=C2)C1=CC=CC=C1","O=C1C[C@@H]2C=C[C@@H](C2)[C@@H]1N1C(=O)OC[C@H]1c1ccccc1","C1=CCC=C1.C=C=CN1C(=O)OC[C@H]1c1ccccc1>>O=C1C[C@@H]2C=C[C@@H](C2)[C@@H]1N1C(=O)OC[C@H]1c1ccccc1","303f99c5706ac59ec0b505121998bb0de8ed7cd42b4f12e919586a042773f8a9","","DISABLED","","","unknown","","","No elimination rule for substrate type: unknown","","","DISABLED","","","","","","","","","","","0.4","","","text","","","","","-50","223.14999999999998","-50.0","-50.0","-50","","","8.0","1","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: O-1"
"8928908","C=C=CN1C(=O)OC[C@H]1c1ccccc1.c1ccoc1","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1c1ccccc1","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1c1ccccc1,O=C1C[C@H]2C=C[C@H](O2)[C@H]1N1C(=O)OC[C@H]1c1ccccc1","True","O1C=CC=C1,C=C=CN1[C@@H](COC1=O)C1=CC=CC=C1","O=C1OC[C@H](N1[C@H]1[C@@H]2O[C@H](CC1=O)C=C2)C1=CC=CC=C1,O=C1OC[C@H](N1[C@@H]1[C@H]2O[C@@H](CC1=O)C=C2)C1=CC=CC=C1","O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1c1ccccc1","C=C=CN1C(=O)OC[C@H]1c1ccccc1.c1ccoc1>>O=C1C[C@@H]2C=C[C@@H](O2)[C@@H]1N1C(=O)OC[C@H]1c1ccccc1","7e60bc517088af123173fc0ccde8fe5fe16d2be8461db377688109930ac14531","","DISABLED","","","unknown","","","No elimination rule for substrate type: unknown","","","DISABLED","","","","","","","","","","","0.8","","","text","","","","","-78","195.14999999999998","-78.0","-78.0","-78","","","","0","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: O-1"
