"rx_id","precursor_smiles","product_smiles_main","product_smiles_all","is_multi_product","reactants_all","fragment_count","products_all","product_main_smiles","rxn_key","rxn_key_hash","sample_id","rxn_smiles_mapped","map_status","map_fail_reason","mapping_confidence","precursor_type","precursor_subtype","core_atom_map","core_bond_changes","core_extraction_status","core_fail_reason","new_ring_size","reaction_type","reaction_type_confidence","reaction_evidence","topology","topology_evidence","cyclo_mode","cyclo_mode_reason","yield","yield_individual","yield_overall","yield_source","yield_amount","yield_unit","is_censored","is_upper_bound","is_interval","reactivity_label","de","ee","dr_major","dr_minor","stereo_source","temp_celsius","temp_kelvin","temp_min_c","temp_max_c","temp_profile_raw","solvent","base","time_total_h","n_stages_time","has_lewis_acid","has_metal_catalyst","n_solvents","n_reagents","n_catalysts","solvents_str","reagents_str","catalysts_str","leaving_group","mass_balance_status","mass_balance_ok","yield_status","has_stereo","stereo_consistency","quality_flag","notes"
"1","C=C=CN(CCCc1ccco1)C(=O)OC(C)(C)C","CC(C)(C)OC(=O)N1CCC[C@@]23C=C[C@@H](CC(=O)[C@H]12)O3","CC(C)(C)OC(=O)N1CCC[C@@]23C=C[C@@H](CC(=O)[C@H]12)O3","False","O=C(OC(C)(C)C)N(C=C=C)CCCC1=CC=CO1","1","O=C1C[C@@H]2C=C[C@]3(O2)CCCN(C(OC(C)(C)C)=O)[C@]31[H]","CC(C)(C)OC(=O)N1CCC[C@@]23C=C[C@@H](CC(=O)[C@H]12)O3","C=C=CN(CCCc1ccco1)C(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N1CCC[C@@]23C=C[C@@H](CC(=O)[C@H]12)O3","3d15ed5c64f5e94c6b87ca404a9f204f656f7e2805daac6ee7be337dc06d6631","3d15ed5c64f5e94c__d2560d","[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]([CH2:9][CH2:10][CH2:11][c:12]1[o:18][cH:17][cH:16][cH:19]1)[CH:13]=[C:15]=[CH2:14]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][C@@:12]23[CH:13]=[CH:14][C@@H:15]([CH2:16][C:17](=[O:18])[C@H:19]12)[O:20]3","LOW_CONFIDENCE","RXNMapper confidence 0.225 < 0.8, but sanity check passed","0.22521403112001492","allenamide","general","{""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18, ""19"": 19, ""8"": 8}","12-13:formed;15-16:formed;8-13:broken;12-18:broken;13-15:broken;16-19:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.05","","","text","0.05","fraction","True","True","False","REACTIVE","","","","","","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","NA","GOOD",""
"2","C=C=CN(CCCc1ccco1)C(=O)OCc1ccccc1","O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","False","O=C(OCC1=CC=CC=C1)N(C=C=C)CCCC2=CC=CO2","1","O=C1C[C@@H]2C=C[C@]3(O2)CCCN(C(OCC4=CC=CC=C4)=O)[C@]31[H]","O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","C=C=CN(CCCc1ccco1)C(=O)OCc1ccccc1>>O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","13864200ddfe38b82036b9c2a3c27167693808c06a9d26431e2ca34aa9003399","13864200ddfe38b8__d0f094","[o:1]1[cH:2][cH:5][cH:6][c:7]1[CH2:8][CH2:9][CH2:10][N:11]([C:12](=[O:13])[O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[CH:22]=[C:4]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@@H:4]2[CH:5]=[CH:6][C@@:7]3([CH2:8][CH2:9][CH2:10][N:11]([C:12](=[O:13])[O:14][CH2:15][c:16]4[cH:17][cH:18][cH:19][cH:20][cH:21]4)[C@@H:22]13)[O:23]2","LOW_CONFIDENCE","RXNMapper confidence 0.539 < 0.8, but sanity check passed","0.5391899306817983","allenamide","general","{""1"": 1, ""11"": 11, ""2"": 2, ""22"": 22, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","2-3:formed;4-5:formed;1-7:broken;2-5:broken;4-22:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.05","","","text","0.05","fraction","True","True","False","REACTIVE","","","","","","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","NA","GOOD",""
"3","C=C=CN(CCc1ccco1)C(=O)OCc1ccccc1","O=C1C[C@@H]2C=C[C@@]3(CCN(C(=O)OCc4ccccc4)[C@@H]13)O2","O=C1C[C@@H]2C=C[C@@]3(CCN(C(=O)OCc4ccccc4)[C@@H]13)O2","False","O=C(OCC1=CC=CC=C1)N(C=C=C)CCC2=CC=CO2","1","O=C1C[C@@H]2C=C[C@@]3(O2)[C@]1(N(C(OCC4=CC=CC=C4)=O)CC3)[H]","O=C1C[C@@H]2C=C[C@@]3(CCN(C(=O)OCc4ccccc4)[C@@H]13)O2","C=C=CN(CCc1ccco1)C(=O)OCc1ccccc1>>O=C1C[C@@H]2C=C[C@@]3(CCN(C(=O)OCc4ccccc4)[C@@H]13)O2","d7b4f1c40832d3f3908e47a591cbb17626368bafc227fd6e75199d2b6e37beca","d7b4f1c40832d3f3__ad40ed","[O:1]([C:11]([N:10]([CH2:9][CH2:8][c:7]1[cH:6][cH:5][cH:4][o:22]1)[CH:21]=[C:2]=[CH2:3])=[O:12])[CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[O:1]=[C:2]1[CH2:3][C@@H:4]2[CH:5]=[CH:6][C@@:7]3([CH2:8][CH2:9][N:10]([C:11](=[O:12])[O:13][CH2:14][c:15]4[cH:16][cH:17][cH:18][cH:19][cH:20]4)[C@@H:21]13)[O:22]2","LOW_CONFIDENCE","RXNMapper confidence 0.785 < 0.8, but sanity check passed","0.7848252333683218","allenamide","general","{""10"": 10, ""2"": 2, ""21"": 21, ""22"": 22, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-21:formed","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.8","0.8","","individual","0.8","fraction","False","False","False","REACTIVE","","","","","","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","NA","GOOD",""
"4","C=C=CN(CCc1ccco1)C(=O)OC(C)(C)C","CC(C)(C)OC(=O)N1CC[C@@]23C=C[C@@H](CC(=O)[C@H]12)O3","CC(C)(C)OC(=O)N1CC[C@@]23C=C[C@@H](CC(=O)[C@H]12)O3","False","O=C(OC(C)(C)C)N(C=C=C)CCC1=CC=CO1","1","O=C1C[C@@H]2C=C[C@@]3(O2)[C@]1(N(C(OC(C)(C)C)=O)CC3)[H]","CC(C)(C)OC(=O)N1CC[C@@]23C=C[C@@H](CC(=O)[C@H]12)O3","C=C=CN(CCc1ccco1)C(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N1CC[C@@]23C=C[C@@H](CC(=O)[C@H]12)O3","f682b1a26f0d60cb4c7cd1ff239a81724c8ab3c466518ab41e2d43db0990c4cb","f682b1a26f0d60cb__e6fc27","[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]([CH2:9][CH2:10][c:11]1[cH:14][cH:15][cH:16][o:17]1)[CH:18]=[C:13]=[CH2:12]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][C@@:11]23[CH:12]=[CH:13][C@@H:14]([CH2:15][C:16](=[O:17])[C@H:18]12)[O:19]3","LOW_CONFIDENCE","RXNMapper confidence 0.260 < 0.8, but sanity check passed","0.2604187282765018","allenamide","general","{""10"": 10, ""11"": 11, ""12"": 12, ""13"": 13, ""14"": 14, ""15"": 15, ""16"": 16, ""17"": 17, ""18"": 18, ""8"": 8}","11-12:formed;13-14:formed;11-14:broken;11-17:broken;13-18:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.75","0.75","","individual","0.75","fraction","False","False","False","REACTIVE","","","","","","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","NA","GOOD",""
"5","C=C=CN(CCCc1ccco1)C(=O)OCc1ccccc1","O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","False","O=C(OCC1=CC=CC=C1)N(C=C=C)CCCC2=CC=CO2","1","O=C1C[C@@H]2C=C[C@]3(O2)CCCN(C(OCC4=CC=CC=C4)=O)[C@]31[H]","O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","C=C=CN(CCCc1ccco1)C(=O)OCc1ccccc1>>O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","13864200ddfe38b82036b9c2a3c27167693808c06a9d26431e2ca34aa9003399","13864200ddfe38b8__c25f68","[o:1]1[cH:2][cH:5][cH:6][c:7]1[CH2:8][CH2:9][CH2:10][N:11]([C:12](=[O:13])[O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[CH:22]=[C:4]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@@H:4]2[CH:5]=[CH:6][C@@:7]3([CH2:8][CH2:9][CH2:10][N:11]([C:12](=[O:13])[O:14][CH2:15][c:16]4[cH:17][cH:18][cH:19][cH:20][cH:21]4)[C@@H:22]13)[O:23]2","LOW_CONFIDENCE","","0.5391899306817983","allenamide","general","{""1"": 1, ""11"": 11, ""2"": 2, ""22"": 22, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","2-3:formed;4-5:formed;1-7:broken;2-5:broken;4-22:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.2","0.2","","individual","0.2","fraction","False","False","False","REACTIVE","0.16","","58","42","text","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"6","C=C=CN(CCCc1ccco1)C(=O)OCc1ccccc1","O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","False","O=C(OCC1=CC=CC=C1)N(C=C=C)CCCC2=CC=CO2","1","O=C1C[C@@H]2C=C[C@]3(O2)CCCN(C(OCC4=CC=CC=C4)=O)[C@]31[H]","O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","C=C=CN(CCCc1ccco1)C(=O)OCc1ccccc1>>O=C1C[C@@H]2C=C[C@@]3(CCCN(C(=O)OCc4ccccc4)[C@@H]13)O2","13864200ddfe38b82036b9c2a3c27167693808c06a9d26431e2ca34aa9003399","13864200ddfe38b8__9f80d7","[o:1]1[cH:2][cH:5][cH:6][c:7]1[CH2:8][CH2:9][CH2:10][N:11]([C:12](=[O:13])[O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[CH:22]=[C:4]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@@H:4]2[CH:5]=[CH:6][C@@:7]3([CH2:8][CH2:9][CH2:10][N:11]([C:12](=[O:13])[O:14][CH2:15][c:16]4[cH:17][cH:18][cH:19][cH:20][cH:21]4)[C@@H:22]13)[O:23]2","LOW_CONFIDENCE","","0.5391899306817983","allenamide","general","{""1"": 1, ""11"": 11, ""2"": 2, ""22"": 22, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","2-3:formed;4-5:formed;1-7:broken;2-5:broken;4-22:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.47","0.47","","individual","0.47","fraction","False","False","False","REACTIVE","0.2","","60","40","text","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","1","CH2Cl2","DMDO","ZnCl2 (1-2 equiv)","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"7","C=C=CN(CC/C=C/C=C)C(=O)OCc1ccccc1","O=C1CCC=C[C@H]2CCN(C(=O)OCc3ccccc3)[C@@H]12","O=C1CCC=C[C@H]2CCN(C(=O)OCc3ccccc3)[C@@H]12","False","O=C(OCC1=CC=CC=C1)N(C=C=C)CC/C=C/C=C","1","O=C1CCC=C[C@]2([H])[C@]1(N(C(OCC3=CC=CC=C3)=O)CC2)[H]","O=C1CCC=C[C@H]2CCN(C(=O)OCc3ccccc3)[C@@H]12","C=C=CN(CC/C=C/C=C)C(=O)OCc1ccccc1>>O=C1CCC=C[C@H]2CCN(C(=O)OCc3ccccc3)[C@@H]12","fb1e301402118b777c88ab6951be5c762925b91d1930514ed1b7e387ffc321a7","fb1e301402118b77__e994d1","[O:1]=[C:11]([N:10]([CH2:9][CH2:8]/[CH:7]=[CH:6]/[CH:5]=[CH2:4])[CH:21]=[C:2]=[CH2:3])[O:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]=[CH:6][C@H:7]2[CH2:8][CH2:9][N:10]([C:11](=[O:12])[O:13][CH2:14][c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[C@@H:21]12","LOW_CONFIDENCE","RXNMapper confidence 0.771 < 0.8, but sanity check passed","0.7707528793703263","allenamide","general","","","AMBIGUOUS","AMBIGUOUS_AFTER_EVAL","","4+3","LOW","allenamide_fallback:core_ambiguous_no_ring:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.65","0.65","","individual","0.65","fraction","False","False","False","REACTIVE","0.06","","53","47","text","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"8","C=C=CN1C(=O)OCC1Cc1ccco1","O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","False","C=C=CN1C(OCC1CC2=CC=CO2)=O","1","O=C1N2[C@](C[C@@](C=C[C@@H]3C4)(O3)[C@@]2([H])C4=O)([H])CO1","O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","C=C=CN1C(=O)OCC1Cc1ccco1>>O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","b9dcf84eca705e72af42343d215c9681d60fd9145a1ec0eccc6a338d31aeca5b","b9dcf84eca705e72__5def02","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH:9]1[CH2:10][O:11][C:12](=[O:13])[N:14]1[CH:15]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][C@H:9]4[CH2:10][O:11][C:12](=[O:13])[N:14]4[C@H:15]13)[O:16]2","OK","","0.8618217939665193","allenamide","general","{""1"": 1, ""14"": 14, ""15"": 15, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-15:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.82","0.82","","individual","0.82","fraction","False","False","False","REACTIVE","0.92","","96","4","text","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"9","C=C=CN1C(=O)OCC1Cc1ccco1","O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","False","C=C=CN1C(OCC1CC2=CC=CO2)=O","1","O=C1N2[C@](C[C@@](C=C[C@@H]3C4)(O3)[C@@]2([H])C4=O)([H])CO1","O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","C=C=CN1C(=O)OCC1Cc1ccco1>>O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","b9dcf84eca705e72af42343d215c9681d60fd9145a1ec0eccc6a338d31aeca5b","b9dcf84eca705e72__fa02a1","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH:9]1[CH2:10][O:11][C:12](=[O:13])[N:14]1[CH:15]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][C@H:9]4[CH2:10][O:11][C:12](=[O:13])[N:14]4[C@H:15]13)[O:16]2","OK","","0.8618217939665193","allenamide","general","{""1"": 1, ""14"": 14, ""15"": 15, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-15:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.77","0.77","","individual","0.77","fraction","False","False","False","REACTIVE","0.92","","96","4","text","25","298.15","25.0","25.0","25","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"10","C=C=CN1C(=O)OCC1Cc1ccco1","O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","False","C=C=CN1C(OCC1CC2=CC=CO2)=O","1","O=C1N2[C@](C[C@@](C=C[C@@H]3C4)(O3)[C@@]2([H])C4=O)([H])CO1","O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","C=C=CN1C(=O)OCC1Cc1ccco1>>O=C1C[C@H]2C=C[C@]3(C[C@H]4COC(=O)N4[C@H]13)O2","b9dcf84eca705e72af42343d215c9681d60fd9145a1ec0eccc6a338d31aeca5b","b9dcf84eca705e72__0a28ac","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH:9]1[CH2:10][O:11][C:12](=[O:13])[N:14]1[CH:15]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][C@H:9]4[CH2:10][O:11][C:12](=[O:13])[N:14]4[C@H:15]13)[O:16]2","OK","","0.8618217939665193","allenamide","general","{""1"": 1, ""14"": 14, ""15"": 15, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-15:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.75","0.75","","individual","0.75","fraction","False","False","False","REACTIVE","0.92","","96","4","text","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
