"rx_id","precursor_smiles","product_smiles_main","product_smiles_all","is_multi_product","substrate_type","ylide_smiles","ylide_leaving_group","ylide_generation_error","yield","yield_individual","yield_overall","yield_source","de","ee","dr_major","dr_minor","temp_celsius","solvent","base","leaving_group","mass_balance_ok","has_stereo","stereo_consistency","quality_flag","notes"
"39717847","C=CC(=O)CCCC1=CC(=O)COC1OC(C)=O","O=C1C=C2CCCC(=O)[C@@H]3C[C@H]1O[C@H]23","O=C1C=C2CCCC(=O)[C@@H]3C[C@H]1O[C@H]23","False","type_A","C=CC(=O)CCCC1=CC(=[O-])C[O+]=C1","AcOH","","0.98","","","text","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717881","CC=CC(=O)CCCC1=CC(=O)COC1OC(C)=O","C[C@H]1[C@H]2C(=O)CCCC3=CC(=O)[C@@H]1O[C@H]32","C[C@H]1[C@H]2C(=O)CCCC3=CC(=O)[C@@H]1O[C@H]32","False","type_A","CC=CC(=O)CCCC1=CC(=[O-])C[O+]=C1","AcOH","","0.93","","","text","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717883","CC(=O)OC1OCC(=O)C=C1CCCC(=O)C=C(C)C","CC1(C)[C@@H]2O[C@H]3C(=CC2=O)CCCC(=O)[C@H]31","CC1(C)[C@@H]2O[C@H]3C(=CC2=O)CCCC(=O)[C@H]31","False","type_A","CC(C)=CC(=O)CCCC1=CC(=[O-])C[O+]=C1","AcOH","","0.86","","","text","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717885","C=C(C)C(=O)CCCC1=CC(=O)COC1OC(C)=O","C[C@@]12C[C@H]3O[C@@H]1C(=CC3=O)CCCC2=O","C[C@@]12C[C@H]3O[C@@H]1C(=CC3=O)CCCC2=O","False","type_A","C=C(C)C(=O)CCCC1=CC(=[O-])C[O+]=C1","AcOH","","0.88","","","text","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717910","C=CC(CCCC1=CC(=O)COC1OC(C)=O)OC(C)=O","CC(=O)O[C@H]1CCCC2=CC(=O)[C@H]3C[C@@H]1[C@@H]2O3","CC(=O)O[C@H]1CCCC2=CC(=O)[C@H]3C[C@@H]1[C@@H]2O3","False","type_A","C=CC(CCCC1=CC(=[O-])C[O+]=C1)OC(C)=O","AcOH","","0.92","","","text","0.90476","","","","160","","","AcOH","True","True","OK","GOOD",""
"39717914","C=CC(CCC1=CC(=O)COC1OC(C)=O)O[Si](C)(C)C(C)(C)C","CC(C)(C)[Si](C)(C)OC1CCC2=CC(=O)[C@@H]3C[C@H]1[C@H]2O3","CC(C)(C)[Si](C)(C)OC1CCC2=CC(=O)[C@@H]3C[C@H]1[C@H]2O3","False","type_A","C=CC(CCC1=CC(=[O-])C[O+]=C1)O[Si](C)(C)C(C)(C)C","AcOH","","0.88","","","text","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717919","C=CC(=O)OCCCC1=CC(=O)COC1OC(C)=O","O=C1C=C2CCCOC(=O)[C@@H]3C[C@H]1O[C@H]23","O=C1C=C2CCCOC(=O)[C@@H]3C[C@H]1O[C@H]23","False","type_A","C=CC(=O)OCCCC1=CC(=[O-])C[O+]=C1","AcOH","","0.9","","","text","","","","","100","","","AcOH","True","True","NA","GOOD",""
"39717921","C=CCOCCCC1=CC(=O)COC1OC(C)=O","O=C1C=C2CCCOC[C@H]3C[C@@H]1O[C@@H]23","O=C1C=C2CCCOC[C@H]3C[C@@H]1O[C@@H]23","False","type_A","C=CCOCCCC1=CC(=[O-])C[O+]=C1","AcOH","","0.91","","","text","","","","","100","","","AcOH","True","True","NA","GOOD",""
"39717923","C=CCC(=O)OCCCC1=CC(=O)COC1OC(C)=O","CC1[C@H]2C(=O)OCCCC3=CC(=O)[C@@H]1O[C@H]32","CC1[C@H]2C(=O)OCCCC3=CC(=O)[C@@H]1O[C@H]32","False","type_A","C=CCC(=O)OCCCC1=CC(=[O-])C[O+]=C1","AcOH","","0.89","","","text","","","","","100","","","AcOH","True","True","NA","GOOD",""
"39717925","CC#CC(=O)OCCCC1=CC(=O)COC1OC(C)=O","C=C1[C@H]2O[C@@H]3C(=CC2=O)CCCOC(=O)[C@H]13","C=C1[C@H]2O[C@@H]3C(=CC2=O)CCCOC(=O)[C@H]13","False","type_A","CC#CC(=O)OCCCC1=CC(=[O-])C[O+]=C1","AcOH","","0.94","","","text","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717928","C=C(C)[C@@H](CCCC1=CC(=O)COC1OC(C)=O)OC(C)=O","CC(=O)O[C@@H]1CCCC2=CC(=O)[C@@H]3C[C@@]1(C)[C@H]2O3","CC(=O)O[C@@H]1CCCC2=CC(=O)[C@@H]3C[C@@]1(C)[C@H]2O3","False","type_A","C=C(C)[C@@H](CCCC1=CC(=[O-])C[O+]=C1)OC(C)=O","AcOH","","0.89","","","text","","0.92","","","160","","","AcOH","True","True","OK","GOOD",""
"39718073","C=CCC[C@]1(O[Si](C)(C)C)CCCC[C@H]1C1=CC(=O)COC1OC(C)=O","C[Si](C)(C)O[C@@]12CCCC[C@H]1C1=CC(=O)[C@@H]3C[C@H](CC2)[C@H]1O3","C[Si](C)(C)O[C@@]12CCCC[C@H]1C1=CC(=O)[C@@H]3C[C@H](CC2)[C@H]1O3","False","type_A","C=CCC[C@]1(O[Si](C)(C)C)CCCC[C@H]1C1=CC(=[O-])C[O+]=C1","AcOH","","0.91","","","text","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39718033","CC(C)(C)[Si](C)(C)OC(CCCC1=CC(=O)COC1O)C1=CCCC1","CC(C)(C)[Si](C)(C)OC1CCCC2=CC(=O)[C@@H]3O[C@H]2[C@]12CCC[C@@H]32","CC(C)(C)[Si](C)(C)OC1CCCC2=CC(=O)[C@@H]3O[C@H]2[C@]12CCC[C@@H]32","False","type_C","CC(C)(C)[Si](C)(C)OC(CCCC1=CC(=[O-])C[O+]=C1)C1=CCCC1","H2O","","","","","none","","","","","160","","","H2O","True","True","NA","WARNING","Missing yield data"
"39717871","C=CCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=O)C(c2ccccc2)OC1OC(C)=O","CC(C)(C)[Si](C)(C)O[C@@H]1CCC[C@@H]2C[C@@]3(c4ccccc4)O[C@@H]2C1=CC3=O","CC(C)(C)[Si](C)(C)O[C@@H]1CCC[C@@H]2C[C@@]3(c4ccccc4)O[C@@H]2C1=CC3=O,CC(C)(C)[Si](C)(C)O[C@@H]1CCC[C@H]2C[C@]3(c4ccccc4)O[C@H]2C1=CC3=O","True","type_B","C=CCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=[O-])C(c2ccccc2)[O+]=C1","AcOH","","0.85","","0.85","overall","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717887","C=CCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=O)COC1OC(C)=O","CC(C)(C)[Si](C)(C)O[C@H]1CCC[C@H]2C[C@@H]3O[C@H]2C1=CC3=O","CC(C)(C)[Si](C)(C)O[C@H]1CCC[C@H]2C[C@@H]3O[C@H]2C1=CC3=O,CC(C)(C)[Si](C)(C)O[C@@H]1CCC[C@H]2C[C@@H]3O[C@H]2C1=CC3=O","True","type_A","C=CCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=[O-])C[O+]=C1","AcOH","","0.98","","0.98","overall","","","","","100","","","AcOH","True","True","NA","GOOD",""
"39717894","C=CC(CCCC1=CC(=O)COC1OC(C)=O)O[Si](C(C)C)(C(C)C)C(C)C","CC(C)[Si](O[C@@H]1CCCC2=CC(=O)[C@@H]3C[C@H]1[C@H]2O3)(C(C)C)C(C)C","CC(C)[Si](O[C@@H]1CCCC2=CC(=O)[C@@H]3C[C@H]1[C@H]2O3)(C(C)C)C(C)C,CC(C)[Si](O[C@@H]1CCCC2=CC(=O)[C@H]3C[C@@H]1[C@@H]2O3)(C(C)C)C(C)C","True","type_A","C=CC(CCCC1=CC(=[O-])C[O+]=C1)O[Si](C(C)C)(C(C)C)C(C)C","AcOH","","0.86","","0.86","overall","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717896","C=C(C)C(CCCC1=CC(=O)COC1OC(C)=O)O[Si](C)(C)C(C)(C)C","CC(C)(C)[Si](C)(C)O[C@@H]1CCCC2=CC(=O)[C@@H]3C[C@@]1(C)[C@H]2O3","CC(C)(C)[Si](C)(C)O[C@@H]1CCCC2=CC(=O)[C@@H]3C[C@@]1(C)[C@H]2O3,CC(C)(C)[Si](C)(C)O[C@H]1CCCC2=CC(=O)[C@@H]3C[C@@]1(C)[C@H]2O3","True","type_A","C=C(C)C(CCCC1=CC(=[O-])C[O+]=C1)O[Si](C)(C)C(C)(C)C","AcOH","","0.88","","0.88","overall","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717898","COC(=O)C=CCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=O)COC1OC(C)=O","COC(=O)[C@H]1[C@H]2CCC[C@@H](O[Si](C)(C)C(C)(C)C)C3=CC(=O)[C@@H]1O[C@H]32","COC(=O)[C@H]1[C@H]2CCC[C@@H](O[Si](C)(C)C(C)(C)C)C3=CC(=O)[C@@H]1O[C@H]32,COC(=O)[C@H]1[C@H]2CCC[C@H](O[Si](C)(C)C(C)(C)C)C3=CC(=O)[C@@H]1O[C@H]32","True","type_A","COC(=O)C=CCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=[O-])C[O+]=C1","AcOH","","0.9","","0.9","overall","","","","","100","","","AcOH","True","True","NA","GOOD",""
"39717900","C=CCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=O)C(C)OC1OC(C)=O","CC(C)(C)[Si](C)(C)O[C@@H]1CCC[C@@H]2C[C@@]3(C)O[C@@H]2C1=CC3=O","CC(C)(C)[Si](C)(C)O[C@@H]1CCC[C@@H]2C[C@@]3(C)O[C@@H]2C1=CC3=O,CC(C)(C)[Si](C)(C)O[C@H]1CCC[C@@H]2C[C@@]3(C)O[C@@H]2C1=CC3=O","True","type_B","C=CCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=[O-])C(C)[O+]=C1","AcOH","","0.85","","0.85","overall","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717908","C=CCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=O)C(CC)OC1OC(C)=O","CC[C@@]12C[C@H]3CCC[C@@H](O[Si](C)(C)C(C)(C)C)C(=CC1=O)[C@H]3O2","CC[C@@]12C[C@H]3CCC[C@@H](O[Si](C)(C)C(C)(C)C)C(=CC1=O)[C@H]3O2,CC[C@@]12C[C@H]3CCC[C@H](O[Si](C)(C)C(C)(C)C)C(=CC1=O)[C@H]3O2","True","type_B","C=CCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=[O-])C(CC)[O+]=C1","AcOH","","0.86","","0.86","overall","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717912","C=CCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=O)COC1OC(C)=O","CC(C)(C)[Si](C)(C)O[C@@H]1CC[C@H]2C[C@@H]3O[C@H]2C1=CC3=O","CC(C)(C)[Si](C)(C)O[C@@H]1CC[C@H]2C[C@@H]3O[C@H]2C1=CC3=O,CC(C)(C)[Si](C)(C)O[C@H]1CC[C@H]2C[C@@H]3O[C@H]2C1=CC3=O","True","type_A","C=CCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=[O-])C[O+]=C1","AcOH","","0.9","","0.9","overall","","","","","160","","","AcOH","True","True","NA","GOOD",""
"39717915","C=CCCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=O)COC1OC(C)=O","CC(C)(C)[Si](C)(C)[C@H]1CCCC[C@H]2C[C@@H]3O[C@H]2C1=CC3=O","CC(C)(C)[Si](C)(C)[C@H]1CCCC[C@H]2C[C@@H]3O[C@H]2C1=CC3=O,CC(C)(C)[Si](C)(C)[C@H]1CCCC[C@@H]2C[C@H]3O[C@@H]2C1=CC3=O","True","type_A","C=CCCCCC(O[Si](C)(C)C(C)(C)C)C1=CC(=[O-])C[O+]=C1","AcOH","","0.91","","0.91","overall","","","","","100","","","UNKNOWN","False","True","NA","WARNING","Unknown leaving group: C2H4O3"
"39717917","C=CCCCC(CCC1=CC(=O)COC1OC(C)=O)O[Si](C)(C)C(C)(C)C","CC(C)(C)[Si](C)(C)O[C@@H]1CCC[C@@H]2C[C@H]3O[C@@H]2C(=CC3=O)CC1","CC(C)(C)[Si](C)(C)O[C@@H]1CCC[C@@H]2C[C@H]3O[C@@H]2C(=CC3=O)CC1,CC(C)(C)[Si](C)(C)O[C@@H]1CCC[C@H]2C[C@@H]3O[C@H]2C(=CC3=O)CC1","True","type_A","C=CCCCC(CCC1=CC(=[O-])C[O+]=C1)O[Si](C)(C)C(C)(C)C","AcOH","","0.61","","0.61","overall","","","","","160","","","AcOH","True","True","NA","GOOD",""
